,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Lara/011007.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Lara/011018.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Lara/011104.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lara/011105.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
4,Lara/011109.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lara/011126.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Lara/011127.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lara/020002.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Lara/020008.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
9,Lara/020017.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Lara/020019.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lara/020110.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
12,Lara/020111.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Lara/020116.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Lara/020119.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Lara/020121.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lara/020125.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Lara/020203.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
18,Lara/020204.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Lara/020205.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Lara/020214.xml,0,0,0,1,0,0,0,0,1,0,0,0,0
21,Lara/020217.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Lara/020218.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lara/020221.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lara/020316.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Lara/020323.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Lara/020416.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Lara/020418.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Lara/020508.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Lara/020510.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Lara/020525.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Lara/020600.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lara/020607.xml,0,0,0,3,0,0,0,0,0,0,0,0,0
33,Lara/020616.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Lara/020617.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lara/020618.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Lara/020619.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Lara/020622.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Lara/020624.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Lara/020625.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Lara/020628.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Lara/020702.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
42,Lara/020707.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Lara/020712.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Lara/020713.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lara/020714.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Lara/020715.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Lara/020725.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Lara/020726.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Lara/020727.xml,0,0,0,0,0,1,0,0,0,0,1,0,0
50,Lara/020801.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
51,Lara/020802.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Lara/020803.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
53,Lara/020804.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
54,Lara/020809.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Lara/020810.xml,0,0,0,3,0,0,0,0,0,0,0,0,0
56,Lara/020811.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Lara/020815.xml,0,0,0,1,0,1,0,0,0,0,1,0,0
58,Lara/020823.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Lara/020824.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Lara/020900.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
61,Lara/020901.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Lara/020909.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Lara/020910.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Lara/020913.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
65,Lara/020914.xml,0,0,0,1,0,3,0,0,0,0,0,0,0
66,Lara/020916.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Lara/020926.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Lara/021004.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
69,Lara/021005.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Lara/021006.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Lara/021007.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Lara/021012.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Lara/021013.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Lara/021014.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
75,Lara/021015.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Lara/021019.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Lara/021021.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
78,Lara/021022.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Lara/021028.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Lara/021029.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Lara/021030.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Lara/021102.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Lara/021103.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Lara/021104.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
85,Lara/021109.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Lara/021110.xml,0,0,0,0,0,1,0,0,0,0,1,0,0
87,Lara/021111.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Lara/021120.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
89,Lara/021121.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Lara/021122.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Lara/021124.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Lara/021125.xml,0,0,0,4,0,0,0,0,0,0,0,1,0
93,Lara/030000.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
94,Lara/030001.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
95,Lara/030002.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Lara/030006.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Lara/030008.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Lara/030009.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
99,Lara/030010.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Lara/030011.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
101,Lara/030015.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Lara/030016.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Lara/030029.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Lara/030112.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Lara/030113.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Lara/030114.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Lara/030116.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Lara/030122.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Lara/030123.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Lara/030125.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Lara/030126.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
112,Lara/030204.xml,0,0,0,0,0,2,0,0,0,0,0,0,0
113,Lara/030211.xml,0,0,0,4,0,0,0,0,0,0,0,0,0
114,Lara/030218.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Lara/030219.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Lara/030224.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Lara/030309.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Lara/030310.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Lara/030315.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Lara/030316.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Lara/030322.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Lara/030325.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
