,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Barbara/020708.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Barbara/020912.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barbara/021028.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Barbara/030219.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Barbara/030303.xml,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Barbara/030420.xml,0,0,0,0,0,0,0,2,0,0,0,0,0
6,Barbara/030505.xml,0,0,0,1,0,1,0,0,0,0,0,0,0
7,Barbara/030609.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Barbara/030713.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Barbara/030910.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Barbara/031105.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Barbara/040118.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
