,filename,error_I,error_he,error_she,error_we,error_they,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,She/010816.xml,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,She/010920.xml,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,She/011024.xml,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3,She/011120.xml,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
4,She/020021.xml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,She/020125.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,She/020225.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,She/020401.xml,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
8,She/020508.xml,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
