,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Warren/011029.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Warren/011104.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Warren/011126.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Warren/020003.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Warren/020017.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
5,Warren/020024.xml,0,0,0,1,0,0,0,0,5,0,0,0,0
6,Warren/020101.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Warren/020114.xml,0,0,0,1,0,0,0,0,8,0,0,0,0
8,Warren/020128.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Warren/020205.xml,0,0,0,0,0,0,0,0,3,0,0,0,0
10,Warren/020212.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Warren/020218.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Warren/020302.xml,0,0,0,1,0,0,0,0,3,0,0,0,0
13,Warren/020308.xml,0,0,0,3,0,0,0,0,6,0,0,0,0
14,Warren/020325.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Warren/020400.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Warren/020413.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Warren/020422.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Warren/020513.xml,0,0,0,0,0,0,0,1,1,0,0,0,0
19,Warren/020520.xml,0,0,0,1,0,0,0,0,4,0,0,0,0
20,Warren/020527.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Warren/020604.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
22,Warren/020623.xml,0,0,0,0,0,0,0,0,8,0,0,0,0
23,Warren/020624.xml,0,0,0,2,0,0,0,0,4,0,0,0,0
24,Warren/020705.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Warren/020707.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Warren/020708.xml,0,0,0,0,0,0,0,0,11,0,0,0,0
27,Warren/020712.xml,0,0,0,0,0,0,0,0,18,0,0,0,0
28,Warren/020721.xml,0,0,0,0,0,0,0,0,5,0,0,0,0
29,Warren/020810.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Warren/020816.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Warren/020824.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Warren/020916.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Warren/020920.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
