,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Gail/020019.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Gail/020025.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Gail/020108.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Gail/020115.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Gail/020205.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Gail/020212.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gail/020226.xml,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Gail/020303.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Gail/020310.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Gail/020317.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Gail/020407.xml,0,0,0,1,0,2,0,0,0,0,3,0,0
11,Gail/020414.xml,0,0,0,0,0,1,0,0,4,0,0,0,0
12,Gail/020421.xml,0,0,0,2,0,0,0,0,13,0,1,0,0
13,Gail/020428.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Gail/020518.xml,0,0,0,0,0,1,0,0,0,0,1,0,0
15,Gail/020519.xml,0,0,0,0,0,2,0,0,0,0,0,0,0
16,Gail/020609.xml,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Gail/020616.xml,0,0,0,0,3,0,0,0,0,0,0,0,0
18,Gail/020623.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Gail/020700.xml,0,0,0,0,2,3,0,0,1,0,3,0,0
20,Gail/020713.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Gail/020720.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Gail/020806.xml,0,0,0,0,0,2,0,0,0,0,2,0,0
23,Gail/020813.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Gail/020828.xml,0,0,0,0,0,1,0,0,0,0,1,0,0
25,Gail/020904.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Gail/020925.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
27,Gail/020929.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Gail/021008.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
29,Gail/021029.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
30,Gail/021105.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Gail/021112.xml,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Gail/030003.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
