,filename,error_I,error_he,error_she,error_me,error_him,error_her,error_us,error_them,error_my,error_his,error_herg,error_our,error_their
0,Joel/011122.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Joel/011129.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Joel/020012.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Joel/020026.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Joel/020103.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Joel/020110.xml,0,0,0,2,0,0,0,0,0,0,0,0,0
6,Joel/020123.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Joel/020207.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Joel/020214.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Joel/020221.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Joel/020304.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Joel/020311.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Joel/020325.xml,0,0,0,0,0,0,0,0,2,0,0,0,0
13,Joel/020402.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Joel/020422.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Joel/020429.xml,0,0,0,3,0,1,0,0,0,0,1,0,0
16,Joel/020506.xml,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Joel/020513.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Joel/020526.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Joel/020605.xml,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Joel/020612.xml,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Joel/020619.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Joel/020626.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Joel/020709.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Joel/020716.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Joel/020800.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Joel/020809.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
27,Joel/020823.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Joel/020900.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Joel/020913.xml,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Joel/020920.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Joel/021004.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Joel/021011.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
